stone_path,label
.\0.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\1.png,Amethyst
.\10.png,Amethyst
.\10.png,Amethyst
.\10.png,Amethyst
.\10.png,Amethyst
.\10.png,Amethyst
.\11.png,Amethyst
.\11.png,Amethyst
.\11.png,Amethyst
.\11.png,Amethyst
.\11.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\12.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\13.png,Amethyst
.\14.png,Amethyst
.\14.png,Amethyst
.\14.png,Amethyst
.\14.png,Amethyst
.\14.png,Amethyst
.\14.png,Amethyst
.\15.png,Amethyst
.\15.png,Amethyst
.\15.png,Amethyst
.\15.png,Amethyst
.\15.png,Amethyst
.\16.png,Amethyst
.\16.png,Amethyst
.\17.png,Amethyst
.\18.png,Amethyst
.\19.png,Amethyst
.\19.png,Amethyst
.\19.png,Amethyst
.\19.png,Amethyst
.\19.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\2.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\20.png,Amethyst
.\21.png,Amethyst
.\22.png,Amethyst
.\23.png,Amethyst
.\24.png,Amethyst
.\25.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\26.png,Amethyst
.\27.png,Amethyst
.\27.png,Amethyst
.\27.png,Amethyst
.\27.png,Amethyst
.\27.png,Amethyst
.\28.png,Amethyst
.\28.png,Amethyst
.\28.png,Amethyst
.\28.png,Amethyst
.\28.png,Amethyst
.\29.png,Amethyst
.\29.png,Amethyst
.\30.png,Amethyst
.\30.png,Amethyst
.\30.png,Amethyst
.\30.png,Amethyst
.\31.png,Amethyst
.\32.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
.\33.png,Amethyst
